,year,month,date_of_month,day_of_week,births
1,2000,1,1,6,9083
2,2000,1,2,7,8006
3,2000,1,3,1,11363
4,2000,1,4,2,13032
5,2000,1,5,3,12558
6,2000,1,6,4,12466
7,2000,1,7,5,12516
8,2000,1,8,6,8934
9,2000,1,9,7,7949
10,2000,1,10,1,11668
11,2000,1,11,2,12611
12,2000,1,12,3,12398
13,2000,1,13,4,11815
14,2000,1,14,5,12180
15,2000,1,15,6,8525
16,2000,1,16,7,7657
17,2000,1,17,1,10824
18,2000,1,18,2,12350
19,2000,1,19,3,12405
20,2000,1,20,4,12506
21,2000,1,21,5,11953
22,2000,1,22,6,8855
23,2000,1,23,7,7856
24,2000,1,24,1,11449
25,2000,1,25,2,12593
26,2000,1,26,3,12143
27,2000,1,27,4,12408
28,2000,1,28,5,11934
29,2000,1,29,6,8805
30,2000,1,30,7,7764
31,2000,1,31,1,11133
32,2000,2,1,2,12614
33,2000,2,2,3,12465
34,2000,2,3,4,12062
35,2000,2,4,5,12035
36,2000,2,5,6,8624
37,2000,2,6,7,7862
38,2000,2,7,1,11630
39,2000,2,8,2,12879
40,2000,2,9,3,12315
41,2000,2,10,4,12612
42,2000,2,11,5,12411
43,2000,2,12,6,8836
44,2000,2,13,7,7933
45,2000,2,14,1,12152
46,2000,2,15,2,13017
47,2000,2,16,3,12504
48,2000,2,17,4,12520
49,2000,2,18,5,12406
50,2000,2,19,6,8861
